Phylum	Group	Sum
p__Basidiobolomycota	arabidopsis_thaliana_Germany_rhizoplane	0
p__Basidiomycota	arabidopsis_thaliana_Germany_rhizoplane	0.0978604651162791
p__Chytridiomycota	arabidopsis_thaliana_Germany_rhizoplane	0.0106511627906977
p__Entomophthoromycota	arabidopsis_thaliana_Germany_rhizoplane	0.00013953488372093
p__Entorrhizomycota	arabidopsis_thaliana_Germany_rhizoplane	0
p__Glomeromycota	arabidopsis_thaliana_Germany_rhizoplane	0.00144186046511628
p__Kickxellomycota	arabidopsis_thaliana_Germany_rhizoplane	0
p__Monoblepharomycota	arabidopsis_thaliana_Germany_rhizoplane	0
p__Mortierellomycota	arabidopsis_thaliana_Germany_rhizoplane	0.0183372093023256
p__Mucoromycota	arabidopsis_thaliana_Germany_rhizoplane	0.000534883720930233
p__Olpidiomycota	arabidopsis_thaliana_Germany_rhizoplane	0.23746511627907
p__Rozellomycota	arabidopsis_thaliana_Germany_rhizoplane	0.00198837209302326
p__Zoopagomycota	arabidopsis_thaliana_Germany_rhizoplane	0
Unassigned	arabidopsis_thaliana_Germany_rhizoplane	0.0180581395348837
p__Aphelidiomycota	arabidopsis_thaliana_France_rhizoplane	0.000131578947368421
p__Ascomycota	arabidopsis_thaliana_France_rhizoplane	0.636421052631579
p__Basidiobolomycota	arabidopsis_thaliana_France_rhizoplane	0
p__Basidiomycota	arabidopsis_thaliana_France_rhizoplane	0.1215
p__Chytridiomycota	arabidopsis_thaliana_France_rhizoplane	0.0164210526315789
p__Entomophthoromycota	arabidopsis_thaliana_France_rhizoplane	0
p__Entorrhizomycota	arabidopsis_thaliana_France_rhizoplane	0
p__Glomeromycota	arabidopsis_thaliana_France_rhizoplane	0.0122105263157895
p__Kickxellomycota	arabidopsis_thaliana_France_rhizoplane	0.00102631578947368
p__Monoblepharomycota	arabidopsis_thaliana_France_rhizoplane	2.63157894736842e-05
p__Mortierellomycota	arabidopsis_thaliana_France_rhizoplane	0.0199736842105263
p__Mucoromycota	arabidopsis_thaliana_France_rhizoplane	0.000526315789473684
p__Olpidiomycota	arabidopsis_thaliana_France_rhizoplane	0.157631578947368
p__Rozellomycota	arabidopsis_thaliana_France_rhizoplane	0.00310526315789474
p__Zoopagomycota	arabidopsis_thaliana_France_rhizoplane	0
Unassigned	arabidopsis_thaliana_France_rhizoplane	0.0310263157894737
p__Aphelidiomycota	arabidopsis_thaliana_CAS_soil	0
p__Ascomycota	arabidopsis_thaliana_CAS_soil	0.665
p__Basidiobolomycota	arabidopsis_thaliana_CAS_soil	0
p__Basidiomycota	arabidopsis_thaliana_CAS_soil	0.05
p__Chytridiomycota	arabidopsis_thaliana_CAS_soil	0.0475
p__Entomophthoromycota	arabidopsis_thaliana_CAS_soil	0
p__Entorrhizomycota	arabidopsis_thaliana_CAS_soil	0
p__Glomeromycota	arabidopsis_thaliana_CAS_soil	0
p__Kickxellomycota	arabidopsis_thaliana_CAS_soil	0
p__Monoblepharomycota	arabidopsis_thaliana_CAS_soil	0
p__Mortierellomycota	arabidopsis_thaliana_CAS_soil	0.091
p__Mucoromycota	arabidopsis_thaliana_CAS_soil	5e-04
p__Olpidiomycota	arabidopsis_thaliana_CAS_soil	5e-04
p__Rozellomycota	arabidopsis_thaliana_CAS_soil	0.0015
p__Zoopagomycota	arabidopsis_thaliana_CAS_soil	0
Unassigned	arabidopsis_thaliana_CAS_soil	0.144
p__Aphelidiomycota	arabidopsis_thaliana_Spain_soil	0.00025
p__Ascomycota	arabidopsis_thaliana_Spain_soil	0.794714285714286
p__Basidiobolomycota	arabidopsis_thaliana_Spain_soil	0
p__Basidiomycota	arabidopsis_thaliana_Spain_soil	0.099375
p__Chytridiomycota	arabidopsis_thaliana_Spain_soil	0.0161428571428571
p__Entomophthoromycota	arabidopsis_thaliana_Spain_soil	0.00555357142857143
p__Entorrhizomycota	arabidopsis_thaliana_Spain_soil	0
p__Glomeromycota	arabidopsis_thaliana_Spain_soil	0.00882142857142857
p__Kickxellomycota	arabidopsis_thaliana_Spain_soil	0
p__Monoblepharomycota	arabidopsis_thaliana_Spain_soil	0.000464285714285714
p__Mortierellomycota	arabidopsis_thaliana_Spain_soil	0.045875
