ID	Exemplar	Cluster	Cluster_size
ASV_188	ASV_42	10	16
ASV_209	ASV_42	10	16
ASV_272	ASV_42	10	16
ASV_307	ASV_42	10	16
ASV_417	ASV_42	10	16
ASV_440	ASV_42	10	16
ASV_495	ASV_42	10	16
ASV_551	ASV_42	10	16
ASV_1128	ASV_42	10	16
ASV_1437	ASV_42	10	16
ASV_43	ASV_43	11	24
ASV_109	ASV_43	11	24
ASV_138	ASV_43	11	24
ASV_174	ASV_43	11	24
ASV_181	ASV_43	11	24
ASV_305	ASV_43	11	24
ASV_330	ASV_43	11	24
ASV_334	ASV_43	11	24
ASV_347	ASV_43	11	24
ASV_354	ASV_43	11	24
ASV_383	ASV_43	11	24
ASV_462	ASV_43	11	24
ASV_478	ASV_43	11	24
ASV_505	ASV_43	11	24
ASV_581	ASV_43	11	24
ASV_832	ASV_43	11	24
ASV_1089	ASV_43	11	24
ASV_1184	ASV_43	11	24
ASV_1383	ASV_43	11	24
ASV_1480	ASV_43	11	24
ASV_1663	ASV_43	11	24
ASV_1795	ASV_43	11	24
ASV_1877	ASV_43	11	24
ASV_1907	ASV_43	11	24
ASV_20	ASV_44	12	19
ASV_44	ASV_44	12	19
ASV_90	ASV_44	12	19
ASV_121	ASV_44	12	19
ASV_133	ASV_44	12	19
ASV_172	ASV_44	12	19
ASV_205	ASV_44	12	19
ASV_206	ASV_44	12	19
ASV_264	ASV_44	12	19
ASV_287	ASV_44	12	19
ASV_335	ASV_44	12	19
ASV_536	ASV_44	12	19
ASV_831	ASV_44	12	19
ASV_1046	ASV_44	12	19
ASV_1160	ASV_44	12	19
ASV_1194	ASV_44	12	19
ASV_1455	ASV_44	12	19
ASV_1463	ASV_44	12	19
ASV_1839	ASV_44	12	19
ASV_49	ASV_49	13	9
ASV_86	ASV_49	13	9
ASV_302	ASV_49	13	9
ASV_304	ASV_49	13	9
ASV_419	ASV_49	13	9
ASV_690	ASV_49	13	9
ASV_964	ASV_49	13	9
ASV_1401	ASV_49	13	9
ASV_1965	ASV_49	13	9
ASV_21	ASV_51	14	17
ASV_51	ASV_51	14	17
ASV_62	ASV_51	14	17
ASV_69	ASV_51	14	17
ASV_71	ASV_51	14	17
ASV_177	ASV_51	14	17
ASV_233	ASV_51	14	17
ASV_464	ASV_51	14	17
ASV_549	ASV_51	14	17
ASV_646	ASV_51	14	17
ASV_769	ASV_51	14	17
ASV_858	ASV_51	14	17
ASV_1082	ASV_51	14	17
ASV_1102	ASV_51	14	17
ASV_1403	ASV_51	14	17
ASV_1558	ASV_51	14	17
ASV_2210	ASV_51	14	17
ASV_53	ASV_53	15	21
ASV_104	ASV_53	15	21
ASV_179	ASV_53	15	21
ASV_180	ASV_53	15	21
ASV_220	ASV_53	15	21
ASV_225	ASV_53	15	21
ASV_430	ASV_53	15	21
ASV_532	ASV_53	15	21
ASV_770	ASV_53	15	21
ASV_789	ASV_53	15	21
ASV_802	ASV_53	15	21
ASV_904	ASV_53	15	21
ASV_983	ASV_53	15	21
ASV_995	ASV_53	15	21
ASV_1053	ASV_53	15	21
ASV_1174	ASV_53	15	21
ASV_1353	ASV_53	15	21
ASV_1449	ASV_53	15	21
ASV_1562	ASV_53	15	21
ASV_1640	ASV_53	15	21
ASV_3055	ASV_53	15	21
ASV_7	ASV_67	16	16
ASV_67	ASV_67	16	16
ASV_129	ASV_67	16	16
ASV_139	ASV_67	16	16
ASV_153	ASV_67	16	16
ASV_249	ASV_67	16	16
ASV_363	ASV_67	16	16
ASV_651	ASV_67	16	16
ASV_1075	ASV_67	16	16
ASV_1198	ASV_67	16	16
ASV_1280	ASV_67	16	16
ASV_1538	ASV_67	16	16
ASV_1668	ASV_67	16	16
ASV_1833	ASV_67	16	16
ASV_2404	ASV_67	16	16
ASV_2591	ASV_67	16	16
ASV_15	ASV_72	17	10
ASV_25	ASV_72	17	10
ASV_72	ASV_72	17	10
ASV_190	ASV_72	17	10
ASV_484	ASV_72	17	10
ASV_562	ASV_72	17	10
ASV_738	ASV_72	17	10
ASV_1560	ASV_72	17	10
ASV_1944	ASV_72	17	10
ASV_2288	ASV_72	17	10
ASV_59	ASV_77	18	30
ASV_77	ASV_77	18	30
ASV_85	ASV_77	18	30
ASV_92	ASV_77	18	30
ASV_118	ASV_77	18	30
ASV_128	ASV_77	18	30
ASV_170	ASV_77	18	30
ASV_204	ASV_77	18	30
ASV_213	ASV_77	18	30
ASV_269	ASV_77	18	30
ASV_403	ASV_77	18	30
ASV_616	ASV_77	18	30
ASV_622	ASV_77	18	30
ASV_623	ASV_77	18	30
ASV_719	ASV_77	18	30
ASV_747	ASV_77	18	30
ASV_754	ASV_77	18	30
ASV_794	ASV_77	18	30
ASV_914	ASV_77	18	30
ASV_922	ASV_77	18	30
ASV_1059	ASV_77	18	30
ASV_1141	ASV_77	18	30
ASV_1159	ASV_77	18	30
ASV_1202	ASV_77	18	30
ASV_1299	ASV_77	18	30
ASV_1426	ASV_77	18	30
ASV_1526	ASV_77	18	30
ASV_1731	ASV_77	18	30
ASV_1787	ASV_77	18	30
ASV_2393	ASV_77	18	30
ASV_80	ASV_80	19	16
ASV_131	ASV_80	19	16
ASV_178	ASV_80	19	16
ASV_244	ASV_80	19	16
ASV_314	ASV_80	19	16
ASV_606	ASV_80	19	16
ASV_631	ASV_80	19	16
ASV_696	ASV_80	19	16
ASV_728	ASV_80	19	16
ASV_731	ASV_80	19	16
ASV_963	ASV_80	19	16
ASV_1191	ASV_80	19	16
ASV_1210	ASV_80	19	16
ASV_1290	ASV_80	19	16
ASV_1576	ASV_80	19	16
ASV_2769	ASV_80	19	16
ASV_37	ASV_88	20	52
ASV_39	ASV_88	20	52
ASV_88	ASV_88	20	52
ASV_97	ASV_88	20	52
ASV_105	ASV_88	20	52
ASV_112	ASV_88	20	52
ASV_166	ASV_88	20	52
ASV_298	ASV_88	20	52
ASV_338	ASV_88	20	52
ASV_349	ASV_88	20	52
ASV_407	ASV_88	20	52
ASV_409	ASV_88	20	52
ASV_564	ASV_88	20	52
ASV_566	ASV_88	20	52
ASV_619	ASV_88	20	52
ASV_628	ASV_88	20	52
ASV_635	ASV_88	20	52
ASV_713	ASV_88	20	52
ASV_750	ASV_88	20	52
ASV_764	ASV_88	20	52
ASV_808	ASV_88	20	52
ASV_839	ASV_88	20	52
ASV_849	ASV_88	20	52
ASV_947	ASV_88	20	52
ASV_955	ASV_88	20	52
ASV_996	ASV_88	20	52
ASV_1001	ASV_88	20	52
ASV_1026	ASV_88	20	52
ASV_1050	ASV_88	20	52
ASV_1052	ASV_88	20	52
ASV_1055	ASV_88	20	52
ASV_1111	ASV_88	20	52
ASV_1132	ASV_88	20	52
ASV_1149	ASV_88	20	52
ASV_1162	ASV_88	20	52
ASV_1195	ASV_88	20	52
ASV_1302	ASV_88	20	52
ASV_1324	ASV_88	20	52
ASV_1434	ASV_88	20	52
ASV_1459	ASV_88	20	52
ASV_1510	ASV_88	20	52
ASV_1518	ASV_88	20	52
ASV_1519	ASV_88	20	52
ASV_1554	ASV_88	20	52
ASV_1561	ASV_88	20	52
ASV_1577	ASV_88	20	52
ASV_1620	ASV_88	20	52
ASV_1650	ASV_88	20	52
ASV_1694	ASV_88	20	52
ASV_1802	ASV_88	20	52
ASV_1962	ASV_88	20	52
ASV_3150	ASV_88	20	52
ASV_60	ASV_93	21	19
ASV_93	ASV_93	21	19
ASV_158	ASV_93	21	19
ASV_296	ASV_93	21	19
ASV_348	ASV_93	21	19
ASV_415	ASV_93	21	19
ASV_670	ASV_93	21	19
ASV_735	ASV_93	21	19
ASV_739	ASV_93	21	19
ASV_1032	ASV_93	21	19
ASV_1072	ASV_93	21	19
ASV_1074	ASV_93	21	19
ASV_1109	ASV_93	21	19
ASV_1196	ASV_93	21	19
ASV_1206	ASV_93	21	19
ASV_1375	ASV_93	21	19
ASV_1627	ASV_93	21	19
ASV_1768	ASV_93	21	19
ASV_1980	ASV_93	21	19
ASV_38	ASV_100	22	32
ASV_57	ASV_100	22	32
ASV_74	ASV_100	22	32
ASV_87	ASV_100	22	32
ASV_100	ASV_100	22	32
ASV_458	ASV_100	22	32
ASV_465	ASV_100	22	32
ASV_520	ASV_100	22	32
ASV_533	ASV_100	22	32
ASV_637	ASV_100	22	32
ASV_643	ASV_100	22	32
ASV_674	ASV_100	22	32
ASV_676	ASV_100	22	32
ASV_771	ASV_100	22	32
ASV_796	ASV_100	22	32
ASV_841	ASV_100	22	32
ASV_894	ASV_100	22	32
ASV_899	ASV_100	22	32
ASV_935	ASV_100	22	32
ASV_952	ASV_100	22	32
ASV_1031	ASV_100	22	32
ASV_1063	ASV_100	22	32
ASV_1282	ASV_100	22	32
ASV_1284	ASV_100	22	32
ASV_1331	ASV_100	22	32
ASV_1393	ASV_100	22	32
ASV_1635	ASV_100	22	32
ASV_1704	ASV_100	22	32
ASV_1902	ASV_100	22	32
ASV_2022	ASV_100	22	32
ASV_2380	ASV_100	22	32
ASV_3326	ASV_100	22	32
ASV_65	ASV_101	23	15
ASV_101	ASV_101	23	15
ASV_136	ASV_101	23	15
ASV_147	ASV_101	23	15
ASV_259	ASV_101	23	15
ASV_262	ASV_101	23	15
ASV_320	ASV_101	23	15
ASV_592	ASV_101	23	15
ASV_602	ASV_101	23	15
ASV_785	ASV_101	23	15
ASV_822	ASV_101	23	15
ASV_846	ASV_101	23	15
ASV_874	ASV_101	23	15
ASV_1240	ASV_101	23	15
ASV_2002	ASV_101	23	15
ASV_107	ASV_107	24	35
ASV_125	ASV_107	24	35
ASV_155	ASV_107	24	35
ASV_173	ASV_107	24	35
ASV_228	ASV_107	24	35
ASV_300	ASV_107	24	35
ASV_306	ASV_107	24	35
ASV_313	ASV_107	24	35
ASV_325	ASV_107	24	35
ASV_340	ASV_107	24	35
ASV_350	ASV_107	24	35
ASV_355	ASV_107	24	35
ASV_472	ASV_107	24	35
ASV_485	ASV_107	24	35
ASV_572	ASV_107	24	35
ASV_575	ASV_107	24	35
ASV_694	ASV_107	24	35
ASV_772	ASV_107	24	35
ASV_815	ASV_107	24	35
ASV_887	ASV_107	24	35
ASV_957	ASV_107	24	35
ASV_966	ASV_107	24	35
ASV_992	ASV_107	24	35
ASV_1304	ASV_107	24	35
ASV_1475	ASV_107	24	35
ASV_1498	ASV_107	24	35
ASV_1661	ASV_107	24	35
ASV_1973	ASV_107	24	35
ASV_1982	ASV_107	24	35
ASV_2048	ASV_107	24	35
ASV_2050	ASV_107	24	35
ASV_2116	ASV_107	24	35
ASV_2262	ASV_107	24	35
ASV_2384	ASV_107	24	35
ASV_2521	ASV_107	24	35
ASV_76	ASV_111	25	53
ASV_89	ASV_111	25	53
ASV_111	ASV_111	25	53
ASV_200	ASV_111	25	53
ASV_203	ASV_111	25	53
ASV_210	ASV_111	25	53
ASV_274	ASV_111	25	53
ASV_292	ASV_111	25	53
ASV_299	ASV_111	25	53
ASV_327	ASV_111	25	53
ASV_393	ASV_111	25	53
ASV_506	ASV_111	25	53
ASV_512	ASV_111	25	53
ASV_568	ASV_111	25	53
ASV_589	ASV_111	25	53
ASV_599	ASV_111	25	53
ASV_655	ASV_111	25	53
ASV_661	ASV_111	25	53
ASV_760	ASV_111	25	53
ASV_844	ASV_111	25	53
ASV_896	ASV_111	25	53
ASV_906	ASV_111	25	53
ASV_911	ASV_111	25	53
ASV_919	ASV_111	25	53
ASV_927	ASV_111	25	53
ASV_941	ASV_111	25	53
ASV_980	ASV_111	25	53
ASV_1015	ASV_111	25	53
ASV_1105	ASV_111	25	53
ASV_1158	ASV_111	25	53
ASV_1170	ASV_111	25	53
ASV_1247	ASV_111	25	53
ASV_1287	ASV_111	25	53
ASV_1359	ASV_111	25	53
ASV_1404	ASV_111	25	53
ASV_1406	ASV_111	25	53
ASV_1553	ASV_111	25	53
ASV_1739	ASV_111	25	53
ASV_1871	ASV_111	25	53
ASV_1887	ASV_111	25	53
ASV_1914	ASV_111	25	53
ASV_1933	ASV_111	25	53
ASV_1939	ASV_111	25	53
ASV_1974	ASV_111	25	53
ASV_2008	ASV_111	25	53
ASV_2042	ASV_111	25	53
ASV_2155	ASV_111	25	53
ASV_2306	ASV_111	25	53
ASV_2340	ASV_111	25	53
ASV_2584	ASV_111	25	53
ASV_2597	ASV_111	25	53
ASV_3421	ASV_111	25	53
ASV_3483	ASV_111	25	53
ASV_116	ASV_135	26	46
ASV_135	ASV_135	26	46
ASV_152	ASV_135	26	46
ASV_208	ASV_135	26	46
ASV_258	ASV_135	26	46
ASV_323	ASV_135	26	46
ASV_413	ASV_135	26	46
ASV_414	ASV_135	26	46
ASV_421	ASV_135	26	46
