Kingdom	Phylum	Class	Order	Family	Genus	node
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	ASV_1111
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ASV_1113
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Rhizobacter	ASV_1116
Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	ASV_1117
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	ASV_1118
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	NA	ASV_1119
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	ASV_1120
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	ASV_1121
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	ASV_1124
Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA	ASV_1125
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	ASV_1126
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	ASV_1127
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Pseudoduganella	ASV_1128
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudorhodoplanes	ASV_1129
Bacteria	Proteobacteria	Gammaproteobacteria	PLTA13	NA	NA	ASV_1131
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	ADurb.Bin063-1	ASV_1132
Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	ASV_1133
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	ASV_1134
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	ASV_1136
Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus	ASV_1137
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	ASV_1139
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	TRA3-20	NA	ASV_1140
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	ASV_1141
Bacteria	Actinobacteriota	MB-A2-108	NA	NA	NA	ASV_1143
Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrocosmicus	ASV_1147
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	ASV_1149
Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA	ASV_1153
Bacteria	Chloroflexi	TK10	NA	NA	NA	ASV_1154
Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	ASV_1155
Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	ASV_1156
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Mesorhizobium	ASV_1158
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	ASV_1159
Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	ASV_1160
Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	ASV_1162
Bacteria	Proteobacteria	Gammaproteobacteria	CCD24	NA	NA	ASV_1164
Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Archangium	ASV_1165
Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	NA	ASV_1166
Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalicibacterium	ASV_1167
Bacteria	Chloroflexi	TK10	NA	NA	NA	ASV_1168
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	ASV_1170
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	ASV_1173
