ID	Exemplar	Cluster	Cluster_size
ASV_301	ASV_283	47	24
ASV_438	ASV_283	47	24
ASV_495	ASV_283	47	24
ASV_539	ASV_283	47	24
ASV_590	ASV_283	47	24
ASV_623	ASV_283	47	24
ASV_640	ASV_283	47	24
ASV_710	ASV_283	47	24
ASV_1043	ASV_283	47	24
ASV_1056	ASV_283	47	24
ASV_1059	ASV_283	47	24
ASV_1141	ASV_283	47	24
ASV_1159	ASV_283	47	24
ASV_1540	ASV_283	47	24
ASV_295	ASV_295	48	6
ASV_418	ASV_295	48	6
ASV_420	ASV_295	48	6
ASV_664	ASV_295	48	6
ASV_1528	ASV_295	48	6
ASV_2486	ASV_295	48	6
ASV_219	ASV_312	49	42
ASV_272	ASV_312	49	42
ASV_297	ASV_312	49	42
ASV_312	ASV_312	49	42
ASV_339	ASV_312	49	42
ASV_351	ASV_312	49	42
ASV_508	ASV_312	49	42
ASV_787	ASV_312	49	42
ASV_850	ASV_312	49	42
ASV_873	ASV_312	49	42
ASV_913	ASV_312	49	42
ASV_977	ASV_312	49	42
ASV_978	ASV_312	49	42
ASV_1069	ASV_312	49	42
ASV_1095	ASV_312	49	42
ASV_1171	ASV_312	49	42
ASV_1212	ASV_312	49	42
ASV_1326	ASV_312	49	42
ASV_1337	ASV_312	49	42
ASV_1350	ASV_312	49	42
ASV_1356	ASV_312	49	42
ASV_1495	ASV_312	49	42
ASV_1520	ASV_312	49	42
ASV_1578	ASV_312	49	42
ASV_1630	ASV_312	49	42
ASV_1650	ASV_312	49	42
ASV_1790	ASV_312	49	42
ASV_2043	ASV_312	49	42
ASV_2102	ASV_312	49	42
ASV_2147	ASV_312	49	42
ASV_2170	ASV_312	49	42
ASV_2191	ASV_312	49	42
ASV_2307	ASV_312	49	42
ASV_2345	ASV_312	49	42
ASV_2434	ASV_312	49	42
ASV_2480	ASV_312	49	42
ASV_2856	ASV_312	49	42
ASV_2949	ASV_312	49	42
ASV_3069	ASV_312	49	42
ASV_3251	ASV_312	49	42
ASV_3412	ASV_312	49	42
ASV_3625	ASV_312	49	42
ASV_65	ASV_337	50	46
ASV_134	ASV_337	50	46
ASV_337	ASV_337	50	46
ASV_348	ASV_337	50	46
ASV_353	ASV_337	50	46
ASV_363	ASV_337	50	46
ASV_415	ASV_337	50	46
ASV_424	ASV_337	50	46
ASV_450	ASV_337	50	46
ASV_528	ASV_337	50	46
ASV_541	ASV_337	50	46
ASV_618	ASV_337	50	46
ASV_653	ASV_337	50	46
ASV_703	ASV_337	50	46
ASV_709	ASV_337	50	46
ASV_734	ASV_337	50	46
ASV_790	ASV_337	50	46
ASV_822	ASV_337	50	46
ASV_853	ASV_337	50	46
ASV_872	ASV_337	50	46
ASV_924	ASV_337	50	46
ASV_933	ASV_337	50	46
ASV_967	ASV_337	50	46
ASV_1049	ASV_337	50	46
ASV_1088	ASV_337	50	46
ASV_1176	ASV_337	50	46
ASV_1245	ASV_337	50	46
ASV_1300	ASV_337	50	46
ASV_1366	ASV_337	50	46
ASV_1383	ASV_337	50	46
ASV_1476	ASV_337	50	46
ASV_1764	ASV_337	50	46
ASV_1817	ASV_337	50	46
ASV_2143	ASV_337	50	46
ASV_2218	ASV_337	50	46
ASV_2283	ASV_337	50	46
ASV_2348	ASV_337	50	46
ASV_2354	ASV_337	50	46
ASV_2439	ASV_337	50	46
ASV_2497	ASV_337	50	46
ASV_2606	ASV_337	50	46
ASV_2609	ASV_337	50	46
ASV_2696	ASV_337	50	46
ASV_2747	ASV_337	50	46
ASV_2752	ASV_337	50	46
ASV_2917	ASV_337	50	46
ASV_262	ASV_341	51	20
ASV_309	ASV_341	51	20
ASV_317	ASV_341	51	20
ASV_341	ASV_341	51	20
ASV_519	ASV_341	51	20
ASV_538	ASV_341	51	20
ASV_660	ASV_341	51	20
ASV_689	ASV_341	51	20
ASV_704	ASV_341	51	20
ASV_756	ASV_341	51	20
ASV_903	ASV_341	51	20
ASV_1033	ASV_341	51	20
ASV_1270	ASV_341	51	20
ASV_1363	ASV_341	51	20
ASV_1432	ASV_341	51	20
ASV_1590	ASV_341	51	20
ASV_1782	ASV_341	51	20
ASV_1809	ASV_341	51	20
ASV_2553	ASV_341	51	20
ASV_2660	ASV_341	51	20
ASV_84	ASV_342	52	50
ASV_105	ASV_342	52	50
ASV_178	ASV_342	52	50
ASV_216	ASV_342	52	50
ASV_244	ASV_342	52	50
ASV_267	ASV_342	52	50
ASV_303	ASV_342	52	50
ASV_314	ASV_342	52	50
ASV_336	ASV_342	52	50
ASV_342	ASV_342	52	50
ASV_349	ASV_342	52	50
ASV_365	ASV_342	52	50
ASV_384	ASV_342	52	50
ASV_390	ASV_342	52	50
ASV_407	ASV_342	52	50
ASV_410	ASV_342	52	50
ASV_527	ASV_342	52	50
ASV_537	ASV_342	52	50
ASV_591	ASV_342	52	50
ASV_608	ASV_342	52	50
ASV_612	ASV_342	52	50
ASV_635	ASV_342	52	50
ASV_696	ASV_342	52	50
ASV_729	ASV_342	52	50
ASV_748	ASV_342	52	50
ASV_764	ASV_342	52	50
ASV_792	ASV_342	52	50
ASV_908	ASV_342	52	50
ASV_936	ASV_342	52	50
ASV_1002	ASV_342	52	50
ASV_1003	ASV_342	52	50
ASV_1050	ASV_342	52	50
ASV_1055	ASV_342	52	50
ASV_1080	ASV_342	52	50
ASV_1107	ASV_342	52	50
ASV_1119	ASV_342	52	50
ASV_1124	ASV_342	52	50
ASV_1149	ASV_342	52	50
ASV_1211	ASV_342	52	50
ASV_1232	ASV_342	52	50
ASV_1252	ASV_342	52	50
ASV_1408	ASV_342	52	50
ASV_1468	ASV_342	52	50
ASV_1518	ASV_342	52	50
ASV_1519	ASV_342	52	50
ASV_1585	ASV_342	52	50
ASV_1602	ASV_342	52	50
ASV_1629	ASV_342	52	50
ASV_1802	ASV_342	52	50
ASV_2060	ASV_342	52	50
ASV_149	ASV_352	53	14
ASV_289	ASV_352	53	14
ASV_352	ASV_352	53	14
ASV_516	ASV_352	53	14
ASV_758	ASV_352	53	14
ASV_862	ASV_352	53	14
ASV_864	ASV_352	53	14
ASV_916	ASV_352	53	14
ASV_1153	ASV_352	53	14
ASV_1548	ASV_352	53	14
ASV_2035	ASV_352	53	14
ASV_2505	ASV_352	53	14
ASV_2998	ASV_352	53	14
ASV_3252	ASV_352	53	14
ASV_218	ASV_358	54	23
ASV_358	ASV_358	54	23
ASV_652	ASV_358	54	23
ASV_809	ASV_358	54	23
ASV_817	ASV_358	54	23
ASV_851	ASV_358	54	23
ASV_1014	ASV_358	54	23
ASV_1128	ASV_358	54	23
ASV_1133	ASV_358	54	23
ASV_1186	ASV_358	54	23
ASV_1348	ASV_358	54	23
ASV_1552	ASV_358	54	23
ASV_1687	ASV_358	54	23
ASV_1945	ASV_358	54	23
ASV_1990	ASV_358	54	23
ASV_2069	ASV_358	54	23
ASV_2099	ASV_358	54	23
ASV_2513	ASV_358	54	23
ASV_2986	ASV_358	54	23
ASV_3067	ASV_358	54	23
ASV_3282	ASV_358	54	23
ASV_3288	ASV_358	54	23
ASV_4007	ASV_358	54	23
