Family	Decrease	Comparison	Color
env.OPS_17	-1.39365982492367	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Erwiniaceae	1.00285925881405	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Fibrobacteraceae	3.58740502193845	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Flavobacteriaceae	1.5907938419958	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Frankiaceae	1.60822007861279	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Gaiellaceae	-1.42383058860731	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Geminicoccaceae	0.967552010937702	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Gemmatimonadaceae	-1.4685073846806	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Geobacteraceae	0.146675670966786	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Geodermatophilaceae	0.0563265454796706	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Glycomycetaceae	-0.565513734164902	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Gracilibacteraceae	0.154189875405933	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Haliangiaceae	6.1033885637869	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Herpetosiphonaceae	0.439009939380036	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Hymenobacteraceae	0.316489911700877	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Hyphomicrobiaceae	2.22969218905308	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Hyphomonadaceae	1.561494691112	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Iamiaceae	0.709983382174926	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Ilumatobacteraceae	0.287083304467721	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Intrasporangiaceae	1.20863700580651	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
KF-JG30-B3	1.9456683562518	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Kineosporiaceae	1.24121353075703	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Latescibacteraceae	2.00907296880333	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Leptospiraceae	3.87610193888949	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Methyloligellaceae	-1.32849607605533	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Methylophilaceae	3.9748455297235	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Microbacteriaceae	-2.97441182430051	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Micrococcaceae	-0.954262553130157	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Micromonosporaceae	1.96610987139272	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Micropepsaceae	1.1935739756692	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Microscillaceae	7.34743693935078	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Microtrichaceae	0.813265647078644	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Mitochondria	0.402679812930529	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Moraxellaceae	2.21804042827764	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Mycobacteriaceae	-1.21073651295263	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Myxococcaceae	1.05149611817328	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Nakamurellaceae	1.44070586538606	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Nannocystaceae	1.9418056286764	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Nitrosomonadaceae	-0.622958644359713	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Nitrososphaeraceae	3.91951281438391	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Nitrospiraceae	0.848152494631634	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
