Family	Mean	P_value_F	P_value_W	P_adjust_W	P_value_T	P_adjust_T	Decrease	Decrease_ratio	Comparison	Color	Sig
Cluster_127	33.1678185353791	0.527868611932319	0.987844958880913	1	0.99811147026776	1	66.4955367308643	0.667201465907166	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_104	34.3602679467637	0.512697293751191	0.847584307755228	1	0.569795708641045	1	65.3030873194797	0.655236693015474	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_52	30.093721651725	0.617780090090242	1	1	1	1	69.5696336145184	0.698046272159593	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_130	31.326483627392	0.584751779628003	0.999999999996287	1	0.999999999999929	1	68.3368716388514	0.685677011939789	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_66	31.9102694008982	0.571940650396906	0.999999996947587	1	0.999999994707548	1	67.7530858653452	0.679819434980367	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_54	32.4990561472059	0.549344729248635	0.999966652551392	1	0.999996762789496	1	67.1642991190375	0.673911679369142	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_110	32.3763684743314	0.557772770890497	0.999998485827612	1	0.999998552330213	1	67.286986791912	0.675142700264904	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_8	31.3621563062367	0.582702740989711	0.999999999988343	1	0.999999999999525	1	68.3011989600067	0.685319080192966	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_133	33.0764922314245	0.539278299921917	0.9992489129942	1	0.998486676126247	1	66.5868630348189	0.668117813783581	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_39	33.7989305714954	0.509259462258057	0.772860530331957	1	0.930932159681487	1	65.864424694748	0.660869027726349	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_109	32.735362127916	0.541616565001745	0.999614818339119	1	0.99994381781262	1	66.9279931383274	0.671540637574705	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_87	33.5141299495405	0.525657673944829	0.98093789032359	1	0.980660965392627	1	66.1492253167029	0.66372665399424	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_91	32.4221520399555	0.552286743984849	0.999988081388085	1	0.999996866497683	1	67.2412032262879	0.674683318122874	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_79	34.4961727044354	0.51402368789853	0.871460018526821	1	0.459080766616771	1	65.167182561808	0.653873054822594	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_100	33.7633821621675	0.511071554452991	0.814538056737119	1	0.940723789008533	1	65.8999731040759	0.661225712580405	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_81	31.8827290878232	0.568493543420225	0.999999984463755	1	0.999999996672846	1	67.7806261784202	0.680095768372931	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_97	29.7685860470455	0.651215678602809	1	1	1	1	69.8947692191979	0.701308610697273	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_128	33.2082547517408	0.528869520929707	0.990178054749892	1	0.997308702959556	1	66.4551005145026	0.666795737881517	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_27	32.5861555313476	0.54476011069868	0.999851138950378	1	0.999991650613108	1	67.0771997348958	0.673037743468539	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_103	33.0959877371195	0.530590544740717	0.993285125393842	1	0.999066563856119	1	66.5673675291239	0.667922200203816	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_46	30.8658663804947	0.593918487050582	0.999999999999984	1	1	1	68.7974888857487	0.690298743223738	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_90	34.3002927691198	0.498795873590337	0.461239674770425	1	0.628758951206333	1	65.3630624971236	0.655838470644611	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_63	33.7269477702686	0.516143557502095	0.903991660079293	1	0.946821703980803	1	65.9364074959748	0.661591287187056	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_33	33.5669665424924	0.525116322995947	0.978809915496803	1	0.9709982611703	1	66.096388723751	0.663196503340464	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_107	33.174652260662	0.53245744661116	0.995642524187282	1	0.997458592051553	1	66.4887030055814	0.667132897823495	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_7	32.5016795827026	0.550819531132739	0.999979955325484	1	0.999994478461824	1	67.1616756835408	0.673885356399283	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_42	34.2963444672554	0.503886427606537	0.623270012553857	1	0.626721798118962	1	65.367010798988	0.655878087029729	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_71	35.9008711350056	0.460607021372401	0.000727452831461796	0.0734727359776414	0.000842758692292338	0.0884896626906955	63.7624841312378	0.639778622352227	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_80	33.6034945045085	0.517690876803027	0.92359592251296	1	0.97007710572787	1	66.0598607617349	0.662829989872013	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_92	31.1202005056664	0.588684584652279	0.999999999999617	1	0.999999999999998	1	68.543154760577	0.68774681102667	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_72	34.8174737601874	0.497607768470439	0.423351275145038	1	0.21975719537254	1	64.845881506056	0.650649191298296	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_28	30.5474400535715	0.605001003438675	1	1	1	1	69.1159152126719	0.693493762356623	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_122	34.5518918625841	0.497598492986891	0.423057787796101	1	0.408533209523634	1	65.1114634036593	0.653313981149027	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_82	33.4768617378097	0.528406589978093	0.989152606020087	1	0.982840758608013	1	66.1864935284337	0.66410059496413	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_69	32.4268666395694	0.552781717515992	0.999990028927642	1	0.999998478180794	1	67.236488626674	0.674636012876113	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_59	34.9329334815593	0.492518900905793	0.272728177411204	1	0.149502593448362	1	64.7304217846841	0.649490694064649	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_89	32.2721680115693	0.553019507185127	0.999990852944489	1	0.999999850268373	1	67.3911872546741	0.676188224595123	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_116	32.7667939947879	0.549831270522007	0.999971765267411	1	0.99991269957316	1	66.8965612714555	0.671225257194545	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_77	34.7087293938168	0.499710773558463	0.49067607501807	1	0.287125272911907	1	64.9546258724266	0.65174030814942	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_94	34.4053912758152	0.509750219660315	0.784640204189116	1	0.533224361993456	1	65.2579639904282	0.654783935540764	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_114	35.0591306326782	0.481581419351357	0.0683106362450906	1	0.0883512867807019	1	64.6042246335652	0.648224459842634	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_86	33.0913992034534	0.53576373488307	0.998075228875327	1	0.998988909251618	1	66.57195606279	0.66796824053282	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_38	35.5048026302195	0.466511288263478	0.00340106317899016	0.333304191541036	0.00911517380948104	0.902402207138623	64.1585526360239	0.643752685875656	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_134	33.9809900061463	0.5202298296178	0.94896155440271	1	0.838543705522609	1	65.6823652600971	0.659042283742419	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_13	32.4024266098943	0.543804735893254	0.999799986270491	1	0.99999960372336	1	67.2609286563491	0.674881238712729	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_111	33.0991933388099	0.540142606343419	0.999410912657264	1	0.998587151553674	1	66.5641619274335	0.667890035907503	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_43	33.9897445699113	0.507302335229467	0.72245022210295	1	0.847478496716537	1	65.6736106963321	0.658954442391487	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_78	34.1322695691637	0.51088435833048	0.810466296351057	1	0.750304775346353	1	65.5310856970797	0.657524378163049	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_118	34.5641906094885	0.498589283274954	0.454616272940585	1	0.399135909465807	1	65.0991646567549	0.653190578250624	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_37	33.8744965579332	0.510543695116542	0.802916635866883	1	0.900384848102383	1	65.7888587083102	0.660110815380037	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_65	36.2287078556501	0.455775337669762	0.000175783185307375	0.0184572344572744	7.76240539501973e-05	0.00822814971872091	63.4346474105933	0.636489181416101	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	sig
Cluster_50	32.880675394507	0.541210973402973	0.999566473820572	1	0.999791146156741	1	66.7826798717364	0.670082596490268	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
Cluster_55	33.9221730158889	0.518555183224529	0.933132057161539	1	0.871279530838254	1	65.7411822503545	0.659632440376222	arabidopsis_thaliana_rhizoplane_vs_arabidopsis_thaliana_rhizosphere	Others	non-sig
