Cluster	Decrease	P_value	Comparison
Cluster_13	3.79084914363295	1.26340107116807e-19	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_130	1.80144086023914	5.3680879488419e-05	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_131	2.84373762140813	2.1081230377375e-11	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_132	2.02696133626323	4.60225114254262e-07	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_133	0.904210225682547	0.0305948396255525	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_134	-0.826717390163253	0.976606596485094	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_14	3.37493558446242	6.09709483271293e-16	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_15	-2.8774152766885	0.999999999948535	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_16	2.79722397706172	7.11828928818581e-12	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_17	3.81970358935483	9.79793102799672e-20	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_18	5.17052553334385	8.182792274871e-34	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_19	1.95335250512861	6.34379670923275e-06	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_2	7.64645643824932	1.1178800768112e-65	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_20	-1.20930488610633	0.997171252858847	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_21	3.04105108889899	1.61996769342552e-13	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_22	1.23572839962431	0.00307880948722737	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_23	1.36241245200195	0.00136760475795855	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_24	-1.03128396135831	0.989318091425281	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_25	-8.29338881694498	1	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_26	-8.28449486358301	1	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_27	-1.8026287982559	0.999943581962025	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_28	3.38628277664409	1.54849712033184e-15	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_29	2.58524113445696	3.4552753212877e-10	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_3	0.64360419934993	0.0612180579027564	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_30	-2.62149093118271	0.999999998676475	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_31	-0.327872896681342	0.759741841873041	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_32	1.98974690741377	1.33779863401256e-06	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_33	-2.16901759726746	0.999999554327773	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_34	3.60502926361454	1.00183779707337e-16	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_35	7.10758692586978	3.17180844934386e-62	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_36	-1.10364008330014	0.995174847600096	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_37	-1.54229712205075	0.999797578301105	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_38	0.675764482063897	0.0815901624973379	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_39	3.20910999792373	2.71937413344097e-14	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_4	1.26363125091124	0.00182675061558718	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_40	1.15329246799566	0.00298264212444971	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_41	-0.674351694275138	0.9443229821249	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_42	-1.48868700061733	0.999647063302166	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_43	1.19558802455504	0.00262570562819465	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_44	1.01345912665163	0.00951598807288636	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_45	0.211825468568634	0.308878195165719	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_46	2.41263059263134	2.54726221758039e-09	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_47	3.0215478288652	1.67024421464777e-11	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_48	1.4790450645551	0.000465012728577652	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_49	-1.36100880655594	0.998907128391459	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_5	3.55855492530819	1.46012480926456e-16	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_50	-2.06997454608292	0.999998468376349	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_51	-5.78667834034134	1	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_52	0.440881759301533	0.154100254311853	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_53	0.0236293908633485	0.478506982987023	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_54	-2.20405416470011	0.999998407155618	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_55	-1.52806534662589	0.999019140114098	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_56	4.78635346264435	5.51569366864128e-28	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_57	0.915906750351525	0.0285253864485187	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_58	0.852209932645501	0.0224428462015864	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_59	-1.21774197308224	0.998404450214273	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_6	5.52319437592181	3.96923684971965e-41	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_60	1.51703565832396	0.000310010145667609	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_61	-3.00015800490392	0.999999999999583	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_62	2.42932677822616	1.67601342814482e-08	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_63	5.32019394675547	2.75395078127078e-33	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_64	-5.87345916491631	1	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_65	2.29749289655948	7.31725317019732e-08	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_66	2.53815062567006	6.71032427447306e-08	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_67	-3.05287701705951	0.999999999876826	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_68	0.0423543986945702	0.461644737962545	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_69	-1.09039938479206	0.995515614049847	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_7	4.5791727142057	3.92014397143301e-24	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_70	3.03049352236856	3.69501754238581e-11	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_71	1.7537454048305	3.38476267744867e-05	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_72	0.0209920732318452	0.480315782637819	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_73	0.638998833724628	0.0476580785481871	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_74	-0.791618812185064	0.958807299594125	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_75	1.76012097931418	1.13277019282916e-05	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_76	2.16517541871306	1.23910271702024e-07	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_77	0.0299144658862645	0.473330726061339	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_78	1.04243141471611	0.0092181907627022	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_79	2.45505741228749	1.25951956577939e-08	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_8	2.62704519599266	8.3597957184378e-10	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_80	2.54488358440552	1.81990835985542e-09	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_81	0.731011936379211	0.050589853538402	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_82	1.10581510103462	0.00506432137755784	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Cluster_83	-0.28430694412809	0.754997642348043	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
